START | Pos: [17.96851, 0.19441, -4.78807] | Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [19.0020, 0.1944, -4.9131], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [19.0020, 0.1944, -4.9131], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [19.0020, 0.1944, -4.9131], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [19.0020, 0.1944, -4.6631], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [19.0020, 0.1944, -4.6631], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [19.0020, 0.1944, -4.6631], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [19.0020, 0.1944, -4.6631], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [18.7520, 0.1944, -4.6631], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [18.5020, 0.1944, -4.6631], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [18.2520, 0.1944, -4.6631], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [18.0020, 0.1944, -4.6631], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [17.7520, 0.1944, -4.6631], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [17.7520, 0.1944, -4.6631], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [17.7520, 0.1944, -4.6631], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [17.7520, 0.1944, -4.6631], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [17.7520, 0.1944, -4.6631], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [17.7520, 0.1944, -4.6631], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [17.7520, 0.1944, -4.6631], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [17.7520, 0.1944, -4.6631], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.2185, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [18.2185, 0.1944, -4.7881], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [18.4350, 0.1944, -4.6631], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [18.6515, 0.1944, -4.5381], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [18.8680, 0.1944, -4.4131], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [18.8680, 0.1944, -4.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [18.8680, 0.1944, -4.4131], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [18.8680, 0.1944, -4.4131], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [18.8680, 0.1944, -4.4131], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [18.8680, 0.1944, -4.6631], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [18.8680, 0.1944, -4.9131], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [18.8680, 0.1944, -5.1631], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [18.8680, 0.1944, -5.4131], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [18.8680, 0.1944, -5.4131], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [18.8680, 0.1944, -5.4131], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [18.8680, 0.1944, -5.4131], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [18.8680, 0.1944, -5.4131], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [18.8680, 0.1944, -5.4131], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [18.9930, 0.1944, -5.1966], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [19.1180, 0.1944, -4.9801], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [19.2430, 0.1944, -4.7635], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [19.2430, 0.1944, -4.7635], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [19.2430, 0.1944, -4.7635], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [19.2430, 0.1944, -4.7635], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [19.2430, 0.1944, -4.7635], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [19.2430, 0.1944, -4.7635], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [19.2430, 0.1944, -4.7635], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [19.2430, 0.1944, -4.7635], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [19.0265, 0.1944, -4.8885], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [19.0265, 0.1944, -4.8885], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [19.0265, 0.1944, -4.8885], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [18.8100, 0.1944, -4.7635], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [18.5935, 0.1944, -4.6385], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [18.3770, 0.1944, -4.5135], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [18.1605, 0.1944, -4.3885], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [17.9440, 0.1944, -4.2635], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [17.7275, 0.1944, -4.1385], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [17.7275, 0.1944, -4.1385], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [17.7275, 0.1944, -4.1385], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [17.7275, 0.1944, -4.1385], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [17.7275, 0.1944, -4.1385], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [17.7275, 0.1944, -4.1385], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [17.7275, 0.1944, -4.1385], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [17.7275, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [17.9775, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.2275, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.4775, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.7275, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.9775, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.2275, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.4775, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.7275, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [19.9775, 0.1944, -4.1385], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [19.9775, 0.1944, -3.8885], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [19.9775, 0.1944, -3.8885], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [19.9775, 0.1944, -3.8885], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [19.9775, 0.1944, -3.8885], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [19.9775, 0.1944, -3.8885], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [19.9775, 0.1944, -3.8885], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [19.9775, 0.1944, -3.8885], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [19.9775, 0.1944, -3.8885], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [19.9775, 0.1944, -3.8885], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [19.9775, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.7275, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.4775, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.2275, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.9775, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.7275, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.4775, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.2275, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [17.9775, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [17.7275, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [17.4775, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [17.2275, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [17.2275, 0.1944, -3.8885], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [17.2275, 0.1944, -3.8885], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [17.2275, 0.1944, -3.8885], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [17.2275, 0.1944, -3.8885], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [17.2275, 0.1944, -3.8885], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [17.2275, 0.1944, -3.8885], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [17.2275, 0.1944, -3.8885], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.6605, 0.1944, -4.1385], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.8770, 0.1944, -4.2635], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [18.0935, 0.1944, -4.3885], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [18.3100, 0.1944, -4.5135], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [18.5265, 0.1944, -4.6385], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [18.5265, 0.1944, -4.6385], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [18.5265, 0.1944, -4.6385], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [18.5265, 0.1944, -4.6385], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [18.5265, 0.1944, -4.6385], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [18.5265, 0.1944, -4.6385], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [18.5265, 0.1944, -4.6385], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [18.3100, 0.1944, -4.5135], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [18.0935, 0.1944, -4.3885], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [17.8770, 0.1944, -4.2635], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [17.6605, 0.1944, -4.1385], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [17.4440, 0.1944, -4.0135], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [17.3190, 0.1944, -4.2301], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [17.3190, 0.1944, -4.2301], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [17.3190, 0.1944, -4.2301], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [17.3190, 0.1944, -4.2301], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [17.3190, 0.1944, -4.2301], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [17.5690, 0.1944, -4.2301], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [17.8190, 0.1944, -4.2301], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.0690, 0.1944, -4.2301], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.3190, 0.1944, -4.2300], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.5690, 0.1944, -4.2300], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.8190, 0.1944, -4.2300], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.0690, 0.1944, -4.2300], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.3190, 0.1944, -4.2300], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [19.3190, 0.1944, -4.2300], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [19.3190, 0.1944, -4.2300], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [19.3190, 0.1944, -4.2300], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [19.3190, 0.1944, -4.2300], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [19.3190, 0.1944, -4.2300], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [19.3190, 0.1944, -4.2300], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [19.3190, 0.1944, -4.2300], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [19.1025, 0.1944, -4.3550], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [19.1025, 0.1944, -4.3550], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [19.1025, 0.1944, -4.3550], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [19.1025, 0.1944, -4.3550], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [19.2275, 0.1944, -4.5716], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [19.2275, 0.1944, -4.5716], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [19.2275, 0.1944, -4.5716], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [19.2275, 0.1944, -4.5716], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [19.4440, 0.1944, -4.4466], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [19.4440, 0.1944, -4.4466], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [19.4440, 0.1944, -4.4466], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [19.4440, 0.1944, -4.4466], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [19.4440, 0.1944, -4.4466], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [19.4440, 0.1944, -4.4466], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [19.4440, 0.1944, -4.4466], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [19.4440, 0.1944, -4.4466], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [19.3190, 0.1944, -4.6631], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [19.3190, 0.1944, -4.6631], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [19.3190, 0.1944, -4.6631], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [19.3190, 0.1944, -4.6631], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [19.5355, 0.1944, -4.7881], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [19.5355, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [19.5355, 0.1944, -4.7881], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [19.5355, 0.1944, -4.7881], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [19.5355, 0.1944, -4.7881], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [19.5355, 0.1944, -4.7881], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [19.5355, 0.1944, -4.7881], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [19.5355, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.2855, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [19.0355, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.7855, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.5355, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [18.2855, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [18.2855, 0.1944, -4.7881], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [18.2855, 0.1944, -4.7881], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [18.2855, 0.1944, -4.7881], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [18.2855, 0.1944, -4.7881], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [18.2855, 0.1944, -4.7881], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [18.2855, 0.1944, -4.7881], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [18.2855, 0.1944, -4.7881], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [18.5020, 0.1944, -4.9131], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [18.7520, 0.1944, -4.9131], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [18.7520, 0.1944, -4.9131], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [18.7520, 0.1944, -4.9131], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [18.7520, 0.1944, -4.9131], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [18.7520, 0.1944, -4.9131], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [18.7520, 0.1944, -4.9131], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [18.7520, 0.1944, -4.9131], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [18.7520, 0.1944, -4.9131], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
