START | Pos: [4.965, -2.8789, -0.03949] | Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [4.9650, -2.8791, -0.0395], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.6723, -2.8791, -4.8632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.6723, -2.8791, -4.6132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.6723, -2.8791, -4.3632], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.6723, -2.8791, -4.1132], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [7.6723, -2.8791, -4.1132], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [7.5473, -2.8791, -3.8967], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [7.4224, -2.8791, -3.6802], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [7.2974, -2.8791, -3.4636], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [7.2974, -2.8791, -3.4636], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.2974, -2.8791, -3.2136], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [7.2974, -2.8791, -3.2136], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [7.1724, -2.8791, -2.9971], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [7.0474, -2.8791, -2.7806], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.9224, -2.8791, -2.5641], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.7974, -2.8791, -2.3476], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.6724, -2.8791, -2.1311], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.5474, -2.8791, -1.9146], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.4225, -2.8791, -1.6981], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.2975, -2.8791, -1.4815], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [6.2975, -2.8791, -1.4815], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [6.2975, -2.8791, -1.4815], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [6.2975, -2.8791, -1.4815], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [6.2975, -2.8791, -1.4815], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [6.2975, -2.8791, -1.4815], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [6.2975, -2.8791, -1.4815], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [6.2975, -2.8791, -1.4815], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [6.2975, -2.8791, -1.4815], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.5475, -2.8791, -1.4816], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.7975, -2.8791, -1.4816], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.0475, -2.8791, -1.4816], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.2975, -2.8791, -1.4816], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [7.2975, -2.8791, -1.4816], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [7.5140, -2.8791, -1.3566], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [7.7305, -2.8791, -1.2316], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [7.9470, -2.8791, -1.1066], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1635, -2.8791, -0.9816], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.3800, -2.8791, -0.8566], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.5965, -2.8791, -0.7317], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.8131, -2.8791, -0.6067], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.0296, -2.8791, -0.4817], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.2461, -2.8791, -0.3567], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.4626, -2.8791, -0.2317], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.6791, -2.8791, -0.1067], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [9.8956, -2.8791, 0.0183], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [9.8956, -2.8791, 0.0183], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [9.8956, -2.8791, 0.0183], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8956, -2.8791, 0.2683], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8956, -2.8791, 0.5183], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8957, -2.8791, 0.7683], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8957, -2.8791, 1.0183], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8957, -2.8791, 1.2683], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8957, -2.8791, 1.5183], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8957, -2.8791, 1.7683], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8957, -2.8791, 2.0183], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8957, -2.8791, 2.2683], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8957, -2.8791, 2.5183], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8958, -2.8791, 2.7683], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8958, -2.8791, 3.0183], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8958, -2.8791, 3.2683], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [9.8958, -2.8791, 3.5183], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [9.8958, -2.8791, 3.5183], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [9.8958, -2.8791, 3.5183], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [9.8958, -2.8791, 3.5183], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [9.8958, -2.8791, 3.5183], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [9.8958, -2.8791, 3.5183], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [9.8958, -2.8791, 3.5183], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8958, -2.8791, 3.2683], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8958, -2.8791, 3.0183], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8958, -2.8791, 2.7683], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8957, -2.8791, 2.5183], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8957, -2.8791, 2.2683], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8957, -2.8791, 2.0183], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8957, -2.8791, 1.7683], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8957, -2.8791, 1.5183], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8957, -2.8791, 1.2683], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8957, -2.8791, 1.0183], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8957, -2.8791, 0.7683], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8956, -2.8791, 0.5183], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8956, -2.8791, 0.2683], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8956, -2.8791, 0.0183], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8956, -2.8791, -0.2317], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8956, -2.8791, -0.4817], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8956, -2.8791, -0.7317], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8956, -2.8791, -0.9817], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8956, -2.8791, -1.2317], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8955, -2.8791, -1.4817], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8955, -2.8791, -1.7317], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8955, -2.8791, -1.9817], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8955, -2.8791, -2.2317], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8955, -2.8791, -2.4817], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8955, -2.8791, -2.7317], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8955, -2.8791, -2.9817], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8955, -2.8791, -3.2317], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8954, -2.8791, -3.4817], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8954, -2.8791, -3.7317], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8954, -2.8791, -3.9817], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8954, -2.8791, -4.2317], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8954, -2.8791, -4.4817], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8954, -2.8791, -4.7317], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [9.8954, -2.8791, -4.9817], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [9.8954, -2.8791, -4.9817], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [9.7704, -2.8791, -5.1982], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [9.6453, -2.8791, -5.4147], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [9.6453, -2.8791, -5.4147], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [9.4404, -2.8791, -5.5443], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [9.2239, -2.8791, -5.6693], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [9.0074, -2.8791, -5.7943], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [8.7909, -2.8791, -5.9193], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [8.7909, -2.8791, -5.9193], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.5409, -2.8791, -5.9193], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.2909, -2.8791, -5.9193], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [8.0409, -2.8791, -5.9193], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [8.0409, -2.8791, -5.9193], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [8.0409, -2.8791, -5.9193], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [8.0409, -2.8791, -5.9193], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [8.0409, -2.8791, -5.9193], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [8.0409, -2.8791, -5.9193], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [8.0409, -2.8791, -5.9193], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [8.0409, -2.8791, -5.9193], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.2574, -2.8791, -5.7943], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [8.2574, -2.8791, -5.7943], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [8.2574, -2.8791, -5.7943], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [8.4739, -2.8791, -5.9193], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [8.4739, -2.8791, -5.9193], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [8.7239, -2.8791, -5.9193], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [8.9739, -2.8791, -5.9193], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [9.2239, -2.8791, -5.9193], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [9.4739, -2.8791, -5.9193], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [9.7239, -2.8791, -5.9194], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [9.9739, -2.8791, -5.9194], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [10.2239, -2.8791, -5.9194], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [10.4739, -2.8791, -5.9194], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [10.4739, -2.8791, -5.9194], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [10.4739, -2.8791, -5.9194], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [10.4739, -2.8791, -5.9194], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [10.4739, -2.8791, -5.9194], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.3489, -2.8791, -5.7029], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.2239, -2.8791, -5.4864], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.0989, -2.8791, -5.2699], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [10.0989, -2.8791, -5.2699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0989, -2.8791, -5.0199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0989, -2.8791, -4.7699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0989, -2.8791, -4.5199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0990, -2.8791, -4.2699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0990, -2.8791, -4.0199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0990, -2.8791, -3.7699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0990, -2.8791, -3.5199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0990, -2.8791, -3.2699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0990, -2.8791, -3.0199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0990, -2.8791, -2.7699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0990, -2.8791, -2.5199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0991, -2.8791, -2.2699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0991, -2.8791, -2.0199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0991, -2.8791, -1.7699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0991, -2.8791, -1.5199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0991, -2.8791, -1.2699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0991, -2.8791, -1.0199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0991, -2.8791, -0.7699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0991, -2.8791, -0.5199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0992, -2.8791, -0.2699], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0992, -2.8791, -0.0199], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0992, -2.8791, 0.2301], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0992, -2.8791, 0.4801], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0992, -2.8791, 0.7301], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0992, -2.8791, 0.9801], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0992, -2.8791, 1.2301], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0992, -2.8791, 1.4801], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.0993, -2.8791, 1.7301], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [10.0993, -2.8791, 1.7301], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [10.0993, -2.8791, 1.7301], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [9.8828, -2.8791, 1.8552], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [9.6663, -2.8791, 1.9802], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [9.4498, -2.8791, 2.1052], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [9.2333, -2.8791, 2.2302], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [9.0168, -2.8791, 2.3552], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [8.8003, -2.8791, 2.4802], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [8.8003, -2.8791, 2.4802], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [8.8003, -2.8791, 2.4802], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [8.8003, -2.8791, 2.4802], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [8.9253, -2.8791, 2.6967], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [8.9253, -2.8791, 2.6967], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.1418, -2.8791, 2.8217], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.3583, -2.8791, 2.9467], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.5748, -2.8791, 3.0717], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.7913, -2.8791, 3.1967], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.0078, -2.8791, 3.3217], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.2243, -2.8791, 3.4466], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.4409, -2.8791, 3.5716], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.6574, -2.8791, 3.6966], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [10.8739, -2.8791, 3.8216], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.0904, -2.8791, 3.9466], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [11.3069, -2.8791, 4.0716], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [11.3069, -2.8791, 4.0716], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
