START | Pos: [-5.99568, 0.19754, 1.17799] | Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.7792, 0.1975, 1.0530], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-9.3013, 0.1975, -3.3465], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-9.3013, 0.1975, -3.0965], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-9.3013, 0.1975, -2.8465], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-9.3013, 0.1975, -2.5965], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-9.3013, 0.1975, -2.5965], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-9.4263, 0.1975, -2.3800], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-9.5513, 0.1975, -2.1635], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-9.6763, 0.1975, -1.9470], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-9.8013, 0.1975, -1.7305], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-9.9263, 0.1975, -1.5140], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-10.0513, 0.1975, -1.2975], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-10.1763, 0.1975, -1.0810], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-10.3013, 0.1975, -0.8645], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-10.4263, 0.1975, -0.6480], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-10.5513, 0.1975, -0.4315], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-10.6763, 0.1975, -0.2150], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-10.6763, 0.1975, -0.2150], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.6763, 0.1975, 0.0350], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.6763, 0.1975, 0.2850], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.6763, 0.1975, 0.5350], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.6763, 0.1975, 0.7850], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-10.6763, 0.1975, 1.0350], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-10.6763, 0.1975, 1.0350], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-10.6763, 0.1975, 1.0350], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-10.6763, 0.1975, 1.0350], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-10.6763, 0.1975, 1.0350], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-10.8928, 0.1975, 0.9100], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-11.1093, 0.1975, 0.7850], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-11.3258, 0.1975, 0.6600], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-11.5423, 0.1975, 0.5350], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-11.7588, 0.1975, 0.4100], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-11.9753, 0.1975, 0.2850], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-12.1918, 0.1975, 0.1600], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-12.4083, 0.1975, 0.0350], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-12.6248, 0.1975, -0.0900], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-12.8414, 0.1975, -0.2150], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-13.0579, 0.1975, -0.3400], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-13.2744, 0.1975, -0.4650], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-13.4909, 0.1975, -0.5900], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-13.7074, 0.1975, -0.7150], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-13.9239, 0.1975, -0.8400], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-14.1404, 0.1975, -0.9650], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-14.3569, 0.1975, -1.0900], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-14.5734, 0.1975, -1.2150], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-14.7899, 0.1975, -1.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-15.0064, 0.1975, -1.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-15.2229, 0.1975, -1.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-15.4394, 0.1975, -1.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-15.6559, 0.1975, -1.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-15.8724, 0.1975, -1.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-16.0889, 0.1975, -2.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-16.3055, 0.1975, -2.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-16.5220, 0.1975, -2.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-16.7385, 0.1975, -2.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-16.9550, 0.1975, -2.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-17.1715, 0.1975, -2.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-17.3880, 0.1975, -2.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-17.6045, 0.1975, -2.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-17.8210, 0.1975, -3.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-18.0375, 0.1975, -3.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-18.2540, 0.1975, -3.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-18.4705, 0.1975, -3.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-18.6870, 0.1975, -3.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-18.9035, 0.1975, -3.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-19.1200, 0.1975, -3.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-19.3365, 0.1975, -3.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-19.5531, 0.1975, -4.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-19.7696, 0.1975, -4.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-19.9861, 0.1975, -4.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-20.2026, 0.1975, -4.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-20.4191, 0.1975, -4.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-20.6356, 0.1975, -4.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-20.8521, 0.1975, -4.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-21.0686, 0.1975, -4.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-21.2851, 0.1975, -5.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-21.5016, 0.1975, -5.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-21.7181, 0.1975, -5.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-21.9346, 0.1975, -5.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-22.1511, 0.1975, -5.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-22.3676, 0.1975, -5.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-22.5842, 0.1975, -5.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-22.8007, 0.1975, -5.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-23.0172, 0.1975, -6.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-23.2337, 0.1975, -6.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-23.4502, 0.1975, -6.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-23.6667, 0.1975, -6.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-23.8832, 0.1975, -6.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-24.0997, 0.1975, -6.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-24.3162, 0.1975, -6.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-24.5327, 0.1975, -6.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-24.7492, 0.1975, -7.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-24.9657, 0.1975, -7.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-25.1822, 0.1975, -7.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-25.3987, 0.1975, -7.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-25.6153, 0.1975, -7.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-25.8318, 0.1975, -7.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-26.0483, 0.1975, -7.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-26.2648, 0.1975, -7.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-26.4813, 0.1975, -8.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-26.6978, 0.1975, -8.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-26.9143, 0.1975, -8.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-27.1308, 0.1975, -8.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-27.3473, 0.1975, -8.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-27.5638, 0.1975, -8.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-27.7803, 0.1975, -8.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-27.9968, 0.1975, -8.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-28.2133, 0.1975, -9.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-28.4298, 0.1975, -9.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-28.6463, 0.1975, -9.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-28.8629, 0.1975, -9.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-29.0794, 0.1975, -9.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-29.2959, 0.1975, -9.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-29.5124, 0.1975, -9.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-29.7289, 0.1975, -9.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-29.9454, 0.1975, -10.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-30.1619, 0.1975, -10.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-30.3784, 0.1975, -10.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-30.5949, 0.1975, -10.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-30.8114, 0.1975, -10.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-31.0279, 0.1975, -10.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-31.2444, 0.1975, -10.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-31.4609, 0.1975, -10.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-31.6774, 0.1975, -11.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-31.8940, 0.1975, -11.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-32.1105, 0.1975, -11.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-32.3270, 0.1975, -11.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-32.5435, 0.1975, -11.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-32.7600, 0.1975, -11.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-32.9765, 0.1975, -11.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-33.1930, 0.1975, -11.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-33.4095, 0.1975, -12.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-33.6260, 0.1975, -12.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-33.8425, 0.1975, -12.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-34.0590, 0.1975, -12.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-34.2755, 0.1975, -12.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-34.4920, 0.1975, -12.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-34.7085, 0.1975, -12.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-34.9250, 0.1975, -12.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-35.1416, 0.1975, -13.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-35.3581, 0.1975, -13.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-35.5746, 0.1975, -13.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-35.7911, 0.1975, -13.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-36.0076, 0.1975, -13.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-36.2241, 0.1975, -13.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-36.4406, 0.1975, -13.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-36.6571, 0.1975, -13.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-36.8736, 0.1975, -14.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-37.0901, 0.1975, -14.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-37.3066, 0.1975, -14.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-37.5231, 0.1975, -14.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-37.7396, 0.1975, -14.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-37.9561, 0.1975, -14.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-38.1727, 0.1975, -14.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-38.3892, 0.1975, -14.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-38.6057, 0.1975, -15.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-38.8222, 0.1975, -15.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-39.0387, 0.1975, -15.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-39.2552, 0.1975, -15.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-39.4717, 0.1975, -15.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-39.6882, 0.1975, -15.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-39.9047, 0.1975, -15.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-40.1212, 0.1975, -15.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-40.3377, 0.1975, -16.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-40.5542, 0.1975, -16.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-40.7707, 0.1975, -16.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-40.9872, 0.1975, -16.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-41.2038, 0.1975, -16.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-41.4203, 0.1975, -16.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-41.6368, 0.1975, -16.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-41.8533, 0.1975, -16.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-42.0698, 0.1975, -17.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-42.2863, 0.1975, -17.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-42.5028, 0.1975, -17.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-42.7193, 0.1975, -17.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-42.9358, 0.1975, -17.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-43.1523, 0.1975, -17.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-43.3688, 0.1975, -17.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-43.5853, 0.1975, -17.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-43.8018, 0.1975, -18.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-44.0183, 0.1975, -18.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-44.2348, 0.1975, -18.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-44.4514, 0.1975, -18.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-44.6679, 0.1975, -18.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-44.8844, 0.1975, -18.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-45.1009, 0.1975, -18.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-45.3174, 0.1975, -18.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-45.5339, 0.1975, -19.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-45.7504, 0.1975, -19.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-45.9669, 0.1975, -19.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-46.1834, 0.1975, -19.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-46.3999, 0.1975, -19.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-46.6164, 0.1975, -19.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-46.8329, 0.1975, -19.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-47.0494, 0.1975, -19.9649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-47.2659, 0.1975, -20.0899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-47.4825, 0.1975, -20.2149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-47.6990, 0.1975, -20.3399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-47.9155, 0.1975, -20.4649], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-48.1320, 0.1975, -20.5899], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-48.3485, 0.1975, -20.7149], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-48.5650, 0.1975, -20.8399], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
