START | Pos: [-4.21486, 0.21325, -3.33832] | Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.4314, 0.2132, -3.4633], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.4469, 0.2132, -2.9723], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-5.3219, 0.2132, -2.7558], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-5.3219, 0.2132, -2.7558], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.1054, 0.2132, -2.6308], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.8889, 0.2132, -2.5058], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.6724, 0.2132, -2.3808], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.4559, 0.2132, -2.2558], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.2394, 0.2132, -2.1308], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.0229, 0.2132, -2.0058], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-4.0229, 0.2132, -2.0058], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-4.0229, 0.2132, -2.0058], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-3.8064, 0.2132, -1.8808], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-3.5899, 0.2132, -1.7558], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-3.5899, 0.2132, -1.7558], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-3.5899, 0.2132, -1.7558], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-3.5899, 0.2132, -1.7558], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-3.5899, 0.2132, -1.7558], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-3.8064, 0.2132, -1.6308], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-3.8064, 0.2132, -1.6308], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-3.8064, 0.2132, -1.6308], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-3.8064, 0.2132, -1.3808], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-3.8064, 0.2132, -1.1308], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-3.8064, 0.2132, -0.8808], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-3.8064, 0.2132, -0.6308], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-3.8064, 0.2132, -0.3808], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-3.8064, 0.2132, -0.3808], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-3.6814, 0.2132, -0.1643], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-3.5564, 0.2132, 0.0522], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-3.4314, 0.2132, 0.2687], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-3.3064, 0.2132, 0.4852], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-3.3064, 0.2132, 0.4852], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-3.0899, 0.2132, 0.6102], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-2.8734, 0.2132, 0.7352], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-2.6568, 0.2132, 0.8602], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-2.6568, 0.2132, 0.8602], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-2.5318, 0.2132, 1.0767], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-2.5318, 0.2132, 1.0767], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-2.3153, 0.2132, 1.2017], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-2.0988, 0.2132, 1.3267], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.8823, 0.2132, 1.4517], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.6658, 0.2132, 1.5767], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.4493, 0.2132, 1.7017], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.2328, 0.2132, 1.8267], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.0163, 0.2132, 1.9517], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-0.7998, 0.2132, 2.0767], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-0.5833, 0.2132, 2.2017], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-0.3668, 0.2132, 2.3267], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-0.1503, 0.2132, 2.4517], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [0.0662, 0.2132, 2.5767], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [0.2827, 0.2132, 2.7017], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [0.2827, 0.2132, 2.7017], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [0.4077, 0.2132, 2.9182], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [0.5327, 0.2132, 3.1348], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [0.6577, 0.2132, 3.3513], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [0.7827, 0.2132, 3.5678], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [0.9077, 0.2132, 3.7843], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.0327, 0.2132, 4.0008], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.1577, 0.2132, 4.2173], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [1.1577, 0.2132, 4.2173], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.3742, 0.2132, 4.3423], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.5908, 0.2132, 4.4673], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.8073, 0.2132, 4.5923], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.0238, 0.2132, 4.7173], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.2403, 0.2132, 4.8423], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.4568, 0.2132, 4.9673], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.6733, 0.2132, 5.0923], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.8898, 0.2132, 5.2173], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [3.1063, 0.2132, 5.3423], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [3.3228, 0.2132, 5.4673], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [3.3228, 0.2132, 5.4673], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.4478, 0.2132, 5.6838], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.5728, 0.2132, 5.9003], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.6978, 0.2132, 6.1168], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.8228, 0.2132, 6.3333], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [3.8228, 0.2132, 6.3333], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.0393, 0.2132, 6.4583], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.2558, 0.2132, 6.5833], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [4.2558, 0.2132, 6.5833], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
stop, Pos: [4.2558, 0.2132, 6.5833], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
