START | Pos: [-7.704, 0.36488, -17.870352] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-7.9540, 0.3649, -17.8703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3882], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3882], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3882], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3882], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3882], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3882], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3882], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3882], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3883], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3883], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3883], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3883], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3883], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3883], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3883], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3883], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3883], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3884], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3884], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3884], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3884], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3884], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3884], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3884], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3884], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3885], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3885], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3885], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3885], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3885], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3885], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3885], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3885], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3885], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3886], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3886], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3886], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3886], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3886], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3886], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3886], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3886], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3886], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3887], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3887], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3887], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3887], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3887], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3887], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3887], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3887], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3887], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2830, -31.3888], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3888], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3888], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3888], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3888], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3888], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3888], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3888], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3889], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3889], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3889], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3889], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3889], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3889], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3889], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3889], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3889], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3890], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3890], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3890], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3890], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3890], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3890], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3890], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3890], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3890], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3892], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3892], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3892], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3892], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3892], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3892], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3892], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3892], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3893], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3893], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3893], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3893], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3893], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3893], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3893], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3893], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3893], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3894], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3894], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3894], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3894], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3894], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3894], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3894], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3894], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3894], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3895], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3895], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3895], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3895], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3895], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3895], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3895], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3895], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3895], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2831, -31.3896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2832, -31.3896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2832, -31.3897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2832, -31.3897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2622, 1.2832, -31.3897], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
