START | Pos: [-11.85938, 0.18997, -11.50831] | Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-8.5179, 0.1900, -13.5508], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-8.5179, 0.1900, -13.5508], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-8.5179, 0.1900, -13.5508], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-8.3929, 0.1900, -13.7673], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-8.2679, 0.1900, -13.9838], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-8.2679, 0.1900, -13.9838], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-8.2679, 0.1900, -13.9838], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-8.2679, 0.1900, -13.9838], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-8.2679, 0.1900, -13.9838], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-8.2679, 0.1900, -13.9838], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-8.2679, 0.1900, -13.9838], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-8.2679, 0.1900, -13.9838], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-8.4844, 0.1900, -13.8588], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-8.7009, 0.1900, -13.7338], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-8.9174, 0.1900, -13.6088], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.1339, 0.1900, -13.4838], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.3504, 0.1900, -13.3588], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-9.3504, 0.1900, -13.3588], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-9.3504, 0.1900, -13.3588], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-9.3504, 0.1900, -13.3588], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-9.3504, 0.1900, -13.3588], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-9.3504, 0.1900, -13.3588], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-9.3504, 0.1900, -13.3588], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-9.3504, 0.1900, -13.3588], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.1004, 0.1900, -13.3588], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-9.1004, 0.1900, -13.3588], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-9.1004, 0.1900, -13.3588], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-8.9754, 0.1900, -13.1423], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-8.8504, 0.1900, -12.9258], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-8.7254, 0.1900, -12.7093], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-8.6004, 0.1900, -12.4928], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-8.4754, 0.1900, -12.2763], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-8.3504, 0.1900, -12.0598], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-8.2254, 0.1900, -11.8432], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-8.1004, 0.1900, -11.6267], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-7.9754, 0.1900, -11.4102], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-7.8504, 0.1900, -11.1937], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-7.7254, 0.1900, -10.9772], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-7.6004, 0.1900, -10.7607], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-7.4754, 0.1900, -10.5442], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-7.4754, 0.1900, -10.5442], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-7.4754, 0.1900, -10.5442], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-7.4754, 0.1900, -10.5442], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-7.4754, 0.1900, -10.5442], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-7.4754, 0.1900, -10.5442], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-7.4754, 0.1900, -10.5442], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-7.4754, 0.1900, -10.5442], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4754, 0.1900, -10.7942], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-7.4754, 0.1900, -11.0442], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-7.4754, 0.1900, -11.0442], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-7.4754, 0.1900, -11.0442], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-7.4754, 0.1900, -11.0442], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-7.7254, 0.1900, -11.0442], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-7.7254, 0.1900, -11.0442], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-7.7254, 0.1900, -11.0442], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-7.7254, 0.1900, -11.0442], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-7.7254, 0.1900, -11.0442], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-7.7254, 0.1900, -11.0442], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-7.7254, 0.1900, -11.0442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.4754, 0.1900, -11.0442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.2254, 0.1900, -11.0442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-6.9754, 0.1900, -11.0442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-6.7254, 0.1900, -11.0442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-6.4754, 0.1900, -11.0442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-6.2254, 0.1900, -11.0442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.9754, 0.1900, -11.0442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.7254, 0.1900, -11.0442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.4754, 0.1900, -11.0442], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-5.4754, 0.1900, -11.0442], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
stop, Pos: [-5.4754, 0.1900, -11.0442], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
