START | Pos: [6.018, -3.008, -6.1127] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [6.0180, -3.0084, -6.1127], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [8.0425, -3.0084, -5.9543], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.7925, -3.0084, -5.9543], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.5425, -3.0084, -5.9543], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.2925, -3.0084, -5.9543], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.0425, -3.0084, -5.9543], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.7925, -3.0084, -5.9542], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.5425, -3.0084, -5.9542], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.2925, -3.0084, -5.9542], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.0425, -3.0084, -5.9542], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.7925, -3.0084, -5.9542], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.5425, -3.0084, -5.9542], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.2925, -3.0084, -5.9542], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.0425, -3.0084, -5.9542], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.7925, -3.0084, -5.9541], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.5425, -3.0084, -5.9541], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [4.5425, -3.0084, -5.9541], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.3260, -3.0084, -5.8291], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.1095, -3.0084, -5.7041], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [4.1095, -3.0084, -5.7041], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [4.1095, -3.0084, -5.7041], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [4.1095, -3.0084, -5.7041], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [4.1095, -3.0084, -5.7041], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [4.1095, -3.0084, -5.7041], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [4.1095, -3.0084, -5.7041], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [4.1095, -3.0084, -5.7041], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [4.1095, -3.0084, -5.7041], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.1095, -3.0084, -5.9541], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [4.1095, -3.0084, -5.9541], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [4.1095, -3.0084, -5.9541], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [4.1095, -3.0084, -5.9541], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [4.1095, -3.0084, -5.9541], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [4.1095, -3.0084, -5.9541], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [4.1095, -3.0084, -5.9541], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [4.1095, -3.0084, -5.9541], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [4.2345, -3.0084, -5.7376], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [4.2345, -3.0084, -5.7376], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [4.2345, -3.0084, -5.7376], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.4845, -3.0084, -5.7376], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.7345, -3.0084, -5.7376], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [4.7345, -3.0084, -5.7376], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [4.7345, -3.0084, -5.7376], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [4.8595, -3.0084, -5.5211], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [4.9100, -3.0084, -5.5283], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [4.9100, -3.0084, -5.5283], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [4.9100, -3.0084, -5.5283], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [4.9100, -3.0084, -5.5283], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [4.9100, -3.0084, -5.5283], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [4.9100, -3.0084, -5.5283], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [4.6935, -3.0084, -5.6533], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [4.6935, -3.0084, -5.6533], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.4435, -3.0084, -5.6533], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [4.4435, -3.0084, -5.6533], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [4.4435, -3.0084, -5.6533], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [4.4435, -3.0084, -5.6533], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [4.4481, -3.0084, -5.4807], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [4.4481, -3.0084, -5.4807], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [4.4481, -3.0084, -5.4807], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [4.4481, -3.0084, -5.4807], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.6981, -3.0084, -5.4807], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.9300, -3.0084, -5.5350], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.1800, -3.0084, -5.5350], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.4300, -3.0084, -5.5350], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.6800, -3.0084, -5.5350], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [5.6800, -3.0084, -5.5350], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [5.6800, -3.0084, -5.5350], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [5.6800, -3.0084, -5.5350], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [5.6800, -3.0084, -5.5350], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [5.5550, -3.0084, -5.3185], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [5.5550, -3.0084, -5.3185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5550, -3.0084, -5.0685], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5550, -3.0084, -4.8185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5550, -3.0084, -4.5685], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5550, -3.0084, -4.3185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5551, -3.0084, -4.0685], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5551, -3.0084, -3.8185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5551, -3.0084, -3.5685], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5551, -3.0084, -3.3185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5551, -3.0084, -3.0685], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5551, -3.0084, -2.8185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5551, -3.0084, -2.5685], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5551, -3.0084, -2.3185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5552, -3.0084, -2.0685], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5552, -3.0084, -1.8185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5552, -3.0084, -1.5685], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5552, -3.0084, -1.3185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5552, -3.0084, -1.0685], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [5.5552, -3.0084, -0.8185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
stop, Pos: [5.5552, -3.0084, -0.8185], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
