START | Pos: [-15.0493, 0.19683, -8.40716] | Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-15.0493, 0.1968, -7.9072], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-15.0493, 0.1968, -7.9072], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-15.0493, 0.1968, -7.9072], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-15.0493, 0.1968, -7.9072], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-15.0493, 0.1968, -7.9072], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-15.0493, 0.1968, -7.9072], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-15.0493, 0.1968, -7.9072], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-15.1743, 0.1968, -8.1237], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-15.1743, 0.1968, -8.1237], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-15.1743, 0.1968, -8.1237], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-15.0493, 0.1968, -8.3402], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.9243, 0.1968, -8.5567], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.9243, 0.1968, -8.5567], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [-14.9243, 0.1968, -8.8067], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-14.9243, 0.1968, -8.8067], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.7993, 0.1968, -9.0232], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.6743, 0.1968, -9.2397], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.5493, 0.1968, -9.4562], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.4243, 0.1968, -9.6727], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.2993, 0.1968, -9.8892], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-14.2993, 0.1968, -9.8892], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-14.0828, 0.1968, -10.0142], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-13.8663, 0.1968, -10.1392], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-13.6498, 0.1968, -10.2642], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-13.6498, 0.1968, -10.2642], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-13.3998, 0.1968, -10.2642], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-13.3998, 0.1968, -10.2642], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-13.1833, 0.1968, -10.3892], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-13.1833, 0.1968, -10.3892], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.9333, 0.1968, -10.3892], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-12.9333, 0.1968, -10.3892], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-12.7168, 0.1968, -10.5142], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-12.7168, 0.1968, -10.5142], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.4668, 0.1968, -10.5142], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-12.4668, 0.1968, -10.5142], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-12.2503, 0.1968, -10.6392], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-12.2503, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-12.0003, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.7503, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.5003, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.2503, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.0003, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.7503, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.5003, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.2503, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.0003, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.7503, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.5003, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.2503, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.0003, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.7503, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.5003, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.2503, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.0003, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.7503, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-7.5003, 0.1968, -10.6392], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-7.5003, 0.1968, -10.6392], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-7.5003, 0.1968, -10.6392], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-7.5003, 0.1968, -10.6392], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-7.5003, 0.1968, -10.6392], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-7.5003, 0.1968, -10.6392], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-7.7168, 0.1968, -10.5142], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-7.9333, 0.1968, -10.3892], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-8.1498, 0.1968, -10.2642], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-8.1498, 0.1968, -10.2642], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-8.1498, 0.1968, -10.2642], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-8.1498, 0.1968, -10.2642], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-8.1498, 0.1968, -10.2642], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-8.1498, 0.1968, -10.2642], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-8.1498, 0.1968, -10.2642], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-8.1498, 0.1968, -10.2642], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.8998, 0.1968, -10.2642], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-7.8998, 0.1968, -10.2642], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-7.6833, 0.1968, -10.3892], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-7.6833, 0.1968, -10.3892], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.4333, 0.1968, -10.3892], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-7.4333, 0.1968, -10.3892], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-7.4333, 0.1968, -10.3892], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-7.4333, 0.1968, -10.3892], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-7.4333, 0.1968, -10.3892], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-7.4333, 0.1968, -10.3892], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-7.6498, 0.1968, -10.2642], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-7.8663, 0.1968, -10.1392], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-7.8663, 0.1968, -10.1392], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-7.8663, 0.1968, -10.1392], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-8.0828, 0.1968, -10.0142], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-8.2993, 0.1968, -9.8892], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-8.2993, 0.1968, -9.8892], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-8.2993, 0.1968, -9.8892], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -9.6392], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -9.3892], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -9.1392], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -8.8892], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -8.6392], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -8.3892], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -8.1392], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -7.8892], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -7.6392], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -7.3892], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -7.1392], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -6.8892], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -6.6392], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -6.3892], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-8.2993, 0.1968, -6.1392], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-8.2993, 0.1968, -6.1392], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-8.4243, 0.1968, -5.9227], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-8.5493, 0.1968, -5.7062], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-8.5493, 0.1968, -5.7062], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-8.5493, 0.1968, -5.7062], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-8.7993, 0.1968, -5.7062], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.0493, 0.1968, -5.7062], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-9.0493, 0.1968, -5.7062], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-9.0493, 0.1968, -5.7062], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-9.0493, 0.1968, -5.7062], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-9.0493, 0.1968, -5.7062], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-9.0493, 0.1968, -5.7062], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
stop, Pos: [-9.0493, 0.1968, -5.7062], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
