START | Pos: [0.567, -2.9155, 14.0793] | Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.4206, -2.9156, 10.6412], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-0.4206, -2.9156, 10.6412], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-0.4206, -2.9156, 10.6412], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-0.4206, -2.9156, 10.6412], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-0.4206, -2.9156, 10.6412], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.6371, -2.9156, 10.7662], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.8536, -2.9156, 10.8912], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.0701, -2.9156, 11.0162], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.2866, -2.9156, 11.1412], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-1.2866, -2.9156, 11.1412], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.4116, -2.9156, 11.3578], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-1.5365, -2.9156, 11.5743], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-1.5365, -2.9156, 11.5743], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.7530, -2.9156, 11.6993], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.9695, -2.9156, 11.8243], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-2.1860, -2.9156, 11.9493], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-2.4025, -2.9156, 12.0743], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-2.4025, -2.9156, 12.0743], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-2.4025, -2.9156, 12.0743], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-2.4025, -2.9156, 12.0743], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-2.4025, -2.9156, 12.0743], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-2.4025, -2.9156, 12.0743], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-2.4025, -2.9156, 12.0743], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-2.1860, -2.9156, 11.9493], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.9695, -2.9156, 11.8243], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.7530, -2.9156, 11.6993], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.5365, -2.9156, 11.5743], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.3200, -2.9156, 11.4493], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.1035, -2.9156, 11.3243], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-1.1035, -2.9156, 11.3243], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.9786, -2.9156, 11.1077], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.8536, -2.9156, 10.8912], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.7286, -2.9156, 10.6747], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-0.7286, -2.9156, 10.6747], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.7286, -2.9156, 10.4247], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-0.7286, -2.9156, 10.1747], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-0.7286, -2.9156, 10.1747], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-0.7286, -2.9156, 10.1747], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-0.7286, -2.9156, 10.1747], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-0.7286, -2.9156, 10.1747], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-0.5121, -2.9156, 10.2997], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-0.5121, -2.9156, 10.2997], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-0.5121, -2.9156, 10.2997], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-0.5121, -2.9156, 10.2997], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-0.5121, -2.9156, 10.2997], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-0.7286, -2.9156, 10.4247], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-0.7286, -2.9156, 10.4247], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.8536, -2.9156, 10.6412], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.9786, -2.9156, 10.8577], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.1036, -2.9156, 11.0743], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.2285, -2.9156, 11.2908], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.3535, -2.9156, 11.5073], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.4785, -2.9156, 11.7238], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-1.4785, -2.9156, 11.7238], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-1.4785, -2.9156, 11.9738], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-1.4785, -2.9156, 12.2238], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-1.4785, -2.9156, 12.4738], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-1.4785, -2.9156, 12.4738], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-1.3535, -2.9156, 12.6903], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-1.2285, -2.9156, 12.9068], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-1.1035, -2.9156, 13.1233], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.9784, -2.9156, 13.3398], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.8534, -2.9156, 13.5563], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.7284, -2.9156, 13.7728], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.6034, -2.9156, 13.9893], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.4784, -2.9156, 14.2058], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.3534, -2.9156, 14.4223], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-0.2284, -2.9156, 14.6388], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-0.2284, -2.9156, 14.6388], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-0.2284, -2.9156, 14.6388], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-0.2284, -2.9156, 14.6388], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-0.2284, -2.9156, 14.6388], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-0.2284, -2.9156, 14.6388], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-0.2284, -2.9156, 14.6388], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.3534, -2.9156, 14.4223], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.4784, -2.9156, 14.2058], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.6034, -2.9156, 13.9893], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.7284, -2.9156, 13.7728], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.8534, -2.9156, 13.5563], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.9784, -2.9156, 13.3398], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.1035, -2.9156, 13.1233], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.2285, -2.9156, 12.9068], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.3535, -2.9156, 12.6903], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.4785, -2.9156, 12.4738], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-1.4785, -2.9156, 12.4738], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.6950, -2.9156, 12.3488], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.9115, -2.9156, 12.2238], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.1280, -2.9156, 12.0988], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-2.1280, -2.9156, 12.0988], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.9115, -2.9156, 12.2238], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.6950, -2.9156, 12.3488], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.4785, -2.9156, 12.4738], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-1.2620, -2.9156, 12.5988], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-1.2620, -2.9156, 12.5988], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.1370, -2.9156, 12.8153], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.0120, -2.9156, 13.0318], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-0.8869, -2.9156, 13.2483], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-0.7619, -2.9156, 13.4648], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-0.6369, -2.9156, 13.6813], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-0.5119, -2.9156, 13.8978], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-0.3869, -2.9156, 14.1143], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-0.2619, -2.9156, 14.3308], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-0.2619, -2.9156, 14.3308], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-0.2619, -2.9156, 14.3308], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-0.2619, -2.9156, 14.3308], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-0.2619, -2.9156, 14.3308], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-0.2619, -2.9156, 14.3308], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-0.2619, -2.9156, 14.3308], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.3869, -2.9156, 14.1143], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.5119, -2.9156, 13.8978], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.6369, -2.9156, 13.6813], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.7619, -2.9156, 13.4648], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-0.8869, -2.9156, 13.2483], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.0120, -2.9156, 13.0318], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.1370, -2.9156, 12.8153], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.2620, -2.9156, 12.5988], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-1.2620, -2.9156, 12.5988], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.4785, -2.9156, 12.4738], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.6950, -2.9156, 12.3488], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.9115, -2.9156, 12.2238], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.1280, -2.9156, 12.0988], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-2.3445, -2.9156, 11.9738], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
