START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [5.9544, 0.1633, 1.3122], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.7044, 0.1633, 1.2709], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.4544, 0.1633, 1.2709], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.2044, 0.1633, 1.2709], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.9544, 0.1633, 1.2709], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [4.9544, 0.1633, 1.2709], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [4.7379, 0.1633, 1.1459], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [4.5214, 0.1633, 1.0210], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [4.3049, 0.1633, 0.8960], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [4.0884, 0.1633, 0.7710], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.8719, 0.1633, 0.6460], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.6554, 0.1633, 0.5210], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.4388, 0.1633, 0.3960], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [3.4388, 0.1633, 0.3960], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [3.4388, 0.1633, 0.3960], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [3.4388, 0.1633, 0.3960], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [3.4388, 0.1633, 0.3960], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.4389, 0.1633, 0.6460], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.4389, 0.1633, 0.8960], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.4389, 0.1633, 1.1460], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [3.4389, 0.1633, 1.1460], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.5639, 0.1633, 1.3625], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.6889, 0.1633, 1.5790], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [3.6889, 0.1633, 1.5790], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.6889, 0.1633, 1.8290], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.6889, 0.1633, 2.0790], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.6889, 0.1633, 2.3290], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [3.6889, 0.1633, 2.3290], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.8139, 0.1633, 2.5455], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [3.8139, 0.1633, 2.5455], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.0305, 0.1633, 2.6705], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.2470, 0.1633, 2.7955], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [4.2470, 0.1633, 2.7955], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [4.2470, 0.1633, 2.7955], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [4.2470, 0.1633, 2.7955], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [4.2470, 0.1633, 2.7955], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [4.2470, 0.1633, 2.7955], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.9970, 0.1633, 2.7955], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.7470, 0.1633, 2.7955], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.4970, 0.1633, 2.7955], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.2470, 0.1633, 2.7955], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [3.2470, 0.1633, 2.7955], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.0305, 0.1633, 2.6705], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [3.0305, 0.1633, 2.6705], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.7805, 0.1633, 2.6706], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.5305, 0.1633, 2.6706], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.2805, 0.1633, 2.6706], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.0305, 0.1633, 2.6706], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.7805, 0.1633, 2.6706], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [1.7805, 0.1633, 2.6706], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [1.7805, 0.1633, 2.6706], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.6554, 0.1633, 2.4541], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.5304, 0.1633, 2.2376], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [1.5304, 0.1633, 2.2376], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [1.5304, 0.1633, 2.2376], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [1.5304, 0.1633, 2.2376], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [1.5304, 0.1633, 2.2376], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [1.5304, 0.1633, 2.2376], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [1.7469, 0.1633, 2.3626], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [1.7469, 0.1633, 2.3626], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [1.9969, 0.1633, 2.3626], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [2.2469, 0.1633, 2.3626], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [2.4969, 0.1633, 2.3626], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [2.7469, 0.1633, 2.3626], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [2.9969, 0.1633, 2.3625], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [3.2469, 0.1633, 2.3625], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [3.4969, 0.1633, 2.3625], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [3.7469, 0.1633, 2.3625], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [3.9440, 0.1633, 2.3625], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
stop, Pos: [3.9440, 0.1633, 2.3625], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
