START | Pos: [13.55902, 0.12711, 1.6699] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [13.5590, 0.1271, 1.6699], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [18.3880, 0.1271, -1.4730], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [18.3880, 0.1271, -1.4730], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [18.6045, 0.1271, -1.3480], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [18.8210, 0.1271, -1.2230], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [19.0375, 0.1271, -1.0980], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [19.2540, 0.1271, -0.9731], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [19.4705, 0.1271, -0.8481], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [19.6871, 0.1271, -0.7231], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [19.9036, 0.1271, -0.5981], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [19.9036, 0.1271, -0.5981], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [20.1536, 0.1271, -0.5981], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [20.1536, 0.1271, -0.5981], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [20.3701, 0.1271, -0.4731], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [20.3701, 0.1271, -0.4731], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [20.3701, 0.1271, -0.4731], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [20.3701, 0.1271, -0.4731], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [20.2696, 0.1271, -0.2713], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
stop, Pos: [20.2696, 0.1271, -0.2713], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
