START | Pos: [7.15886, -0.16933, -2.1896] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [14.0896, -0.4153, -0.0649], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [14.3396, -0.3693, -0.0650], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [14.5896, -0.3693, -0.0650], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [14.8396, -0.3693, -0.0650], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [15.0896, -0.3693, -0.0650], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [15.3396, -0.3693, -0.0650], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [15.5896, -0.3693, -0.0650], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [15.8396, -0.3693, -0.0650], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [16.0896, -0.3841, -0.0650], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [16.3396, -0.4595, -0.0651], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [16.5896, -0.5163, -0.0651], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [16.8396, -0.5187, -0.0651], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [16.8396, -0.5187, -0.0651], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [16.8396, -0.5187, -0.0651], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [16.8396, -0.5187, -0.0651], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [16.8396, -0.5523, 0.1849], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [16.8396, -0.5523, 0.1849], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [16.9646, -0.5693, 0.4014], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [16.9646, -0.5693, 0.4014], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [16.9646, -0.5408, 0.6514], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [16.9646, -0.4483, 0.9014], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [16.9646, -0.4034, 1.1514], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [16.9646, -0.4038, 1.4014], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [16.9647, -0.3911, 1.6514], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [16.9647, -0.3911, 1.6514], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [16.8397, -0.3693, 1.8679], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [16.7291, -0.4444, 2.0805], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [16.7291, -0.4444, 2.0805], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [16.7668, -0.3693, 2.3431], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [16.7668, -0.3693, 2.3431], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [16.6418, -0.3693, 2.5596], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [16.6418, -0.3693, 2.5596], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
stop, Pos: [16.6418, -0.3693, 2.5596], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
