START | Pos: [0.198, -0.2089, -7.777] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [0.1980, -0.2090, -7.7770], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-6.1679, -0.2090, -6.1475], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-6.1679, -0.2090, -6.1475], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-6.1679, -0.2090, -6.1475], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-6.1679, -0.2090, -6.1475], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-6.1679, -0.2090, -5.8975], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-6.1679, -0.2090, -5.8975], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-6.0429, -0.2090, -5.6810], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-6.0429, -0.2090, -5.6810], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.8264, -0.2090, -5.5560], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-5.8264, -0.2090, -5.5560], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-5.7014, -0.2090, -5.3395], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-5.5764, -0.2090, -5.1230], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-5.4514, -0.2090, -4.9065], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-5.3264, -0.2090, -4.6900], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-5.2014, -0.2090, -4.4735], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-5.0763, -0.2090, -4.2570], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-4.9513, -0.2090, -4.0405], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-4.8263, -0.2090, -3.8240], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-4.7013, -0.2090, -3.6075], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-4.5763, -0.2090, -3.3910], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-4.4513, -0.2090, -3.1745], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-4.3263, -0.2090, -2.9580], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-4.2013, -0.2090, -2.7415], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-4.0763, -0.2090, -2.5250], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-4.0763, -0.2090, -2.5250], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-4.0763, -0.2090, -2.5250], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.8263, -0.2090, -2.5250], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.5763, -0.2090, -2.5250], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.3263, -0.2090, -2.5251], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.0763, -0.2090, -2.5251], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.8263, -0.2090, -2.5251], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.5763, -0.2090, -2.5251], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.3263, -0.2090, -2.5251], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.0763, -0.2090, -2.5251], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.8263, -0.2090, -2.5251], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.5763, -0.2090, -2.5251], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.3263, -0.2090, -2.5252], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.0763, -0.2090, -2.5252], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.8263, -0.2090, -2.5252], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.5763, -0.2090, -2.5252], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-0.5763, -0.2090, -2.5252], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-0.3597, -0.2090, -2.4002], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-0.1432, -0.2090, -2.2752], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [0.0733, -0.2090, -2.1502], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [0.2898, -0.2090, -2.0252], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
stop, Pos: [0.2898, -0.2090, -2.0252], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
