START | Pos: [7.15886, -0.16933, -2.1896] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.4089, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.6566, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.9066, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [16.1566, -0.3693, -0.3150], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [16.1566, -0.3693, -0.3150], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [16.3731, -0.4492, -0.1901], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [16.3731, -0.4492, -0.1901], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [16.4981, -0.5223, 0.0264], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [16.6231, -0.5580, 0.2429], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [16.7481, -0.5693, 0.4594], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [16.8731, -0.5214, 0.6759], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [16.9981, -0.4564, 0.8924], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [16.9981, -0.4564, 0.8924], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [16.9981, -0.4122, 1.1424], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [16.9981, -0.4122, 1.1424], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [17.1231, -0.4460, 1.3589], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [17.1231, -0.4460, 1.3589], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [17.1232, -0.4311, 1.6089], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [17.1232, -0.4311, 1.6089], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [17.1232, -0.4311, 1.6089], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [17.1232, -0.4311, 1.6089], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [16.8732, -0.3794, 1.6090], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [16.8732, -0.3794, 1.6090], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [16.6567, -0.5475, 1.7340], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [16.6529, -0.5461, 1.8010], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [16.6696, -0.5238, 1.8624], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [16.6864, -0.5015, 1.9238], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [16.7031, -0.4791, 1.9852], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [16.7198, -0.4568, 2.0466], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [16.7366, -0.4345, 2.1080], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [16.7366, -0.4345, 2.1080], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [16.7829, -0.3727, 2.2778], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [16.6579, -0.3693, 2.4943], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [16.6579, -0.3693, 2.4943], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [16.4414, -0.3693, 2.6193], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [16.2249, -0.3693, 2.7443], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [16.0084, -0.3693, 2.8693], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [16.0084, -0.3693, 2.8693], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [15.7584, -0.3693, 2.8693], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [15.5084, -0.3693, 2.8693], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [15.2584, -0.3693, 2.8693], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [15.0084, -0.3693, 2.8693], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [15.0084, -0.3693, 2.8693], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.7919, -0.3693, 2.7444], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [14.7919, -0.3693, 2.7444], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [14.5419, -0.3693, 2.7444], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [14.2919, -0.3693, 2.7444], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [14.2919, -0.3693, 2.7444], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.0754, -0.3693, 2.6194], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [14.0754, -0.3693, 2.6194], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
stop, Pos: [14.0754, -0.3693, 2.6194], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
