START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.4090, 0.1633, 0.8948], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.1255, 0.1633, 0.9960], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.8755, 0.1633, 0.9960], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.6255, 0.1633, 0.9960], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.3755, 0.1633, 0.9960], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.1255, 0.1633, 0.9961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.8755, 0.1633, 0.9961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.6255, 0.1633, 0.9961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.3755, 0.1633, 0.9961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.1255, 0.1633, 0.9961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.8755, 0.1633, 0.9961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.6255, 0.1633, 0.9961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.3755, 0.1633, 0.9961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.1255, 0.1633, 0.9962], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.8755, 0.1633, 0.9962], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [3.8755, 0.1633, 0.9962], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [3.8755, 0.1633, 0.9962], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [3.8755, 0.1633, 0.9962], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [3.8755, 0.1633, 0.9962], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [4.0005, 0.1633, 0.7797], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [4.0005, 0.1633, 0.7797], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [4.0005, 0.1633, 0.7797], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [4.0005, 0.1633, 0.7797], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.2170, 0.1633, 0.9046], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [4.2170, 0.1633, 0.9046], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.4670, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.7170, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.9670, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.2170, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.4670, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.7170, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.9670, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.2170, 0.1633, 0.9208], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.4670, 0.1633, 0.9208], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.7170, 0.1633, 0.9208], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.9670, 0.1633, 0.9208], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.2170, 0.1633, 0.9208], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.4670, 0.1633, 0.9208], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.7170, 0.1633, 0.9208], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [7.7170, 0.1633, 0.9208], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [7.7170, 0.1633, 0.9208], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [7.7170, 0.1633, 0.9208], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [7.7170, 0.1633, 0.9208], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [7.7170, 0.1633, 0.9208], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [7.7170, 0.1633, 0.9208], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [7.7170, 0.1633, 0.9208], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [7.5005, 0.1633, 1.0458], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [7.2840, 0.1633, 1.1708], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [7.2840, 0.1633, 1.1708], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [7.2840, 0.1633, 1.1708], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [7.0675, 0.1633, 1.0458], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [6.8510, 0.1633, 0.9208], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [6.8510, 0.1633, 0.9208], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.6010, 0.1633, 0.9208], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.3510, 0.1633, 0.9208], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.1010, 0.1633, 0.9209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.8510, 0.1633, 0.9209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.6010, 0.1633, 0.9209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.3510, 0.1633, 0.9209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.1010, 0.1633, 0.9209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.8510, 0.1633, 0.9209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.6010, 0.1633, 0.9209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.3510, 0.1633, 0.9209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [4.1010, 0.1633, 0.9210], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [3.9760, 0.1633, 1.1375], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [3.8510, 0.1633, 1.3540], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [3.7260, 0.1633, 1.5705], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [3.7260, 0.1633, 1.5705], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [3.7260, 0.1633, 1.8205], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [3.7260, 0.1633, 1.8205], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [3.7260, 0.1633, 1.8205], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [3.5095, 0.1633, 1.9455], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [3.2930, 0.1633, 2.0705], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [3.0765, 0.1633, 2.1955], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [2.8600, 0.1633, 2.3205], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [2.6435, 0.1633, 2.4456], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [2.4270, 0.1633, 2.5706], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [2.2105, 0.1633, 2.6956], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.9940, 0.1633, 2.8206], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.9940, 0.1633, 2.8206], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.8691, 0.1633, 3.0371], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.7441, 0.1633, 3.2536], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [1.7441, 0.1633, 3.2536], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [1.7441, 0.1633, 3.2536], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [1.7441, 0.1633, 3.2536], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [1.7441, 0.1633, 3.2536], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [1.7441, 0.1633, 3.2536], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [1.7441, 0.1633, 3.0036], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [1.7440, 0.1633, 2.7536], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [1.7440, 0.1633, 2.5036], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [1.7440, 0.1633, 2.5036], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [1.7440, 0.1633, 2.5036], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [1.7440, 0.1633, 2.5036], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [1.7440, 0.1633, 2.5036], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.5275, 0.1633, 2.6286], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.3110, 0.1633, 2.7536], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.1464, 0.1633, 2.8819], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.1440, 0.1633, 2.9209], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
stop, Pos: [1.1440, 0.1633, 2.9209], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
