START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [7.0810, 0.1633, 2.9449], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [7.0810, 0.1633, 3.1949], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [7.0810, 0.1633, 3.1949], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [7.2060, 0.1633, 3.4114], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [7.3310, 0.1633, 3.6279], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [7.4560, 0.1633, 3.8444], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [7.4560, 0.1633, 3.8444], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [7.4560, 0.1633, 3.8444], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [7.4560, 0.1633, 3.8444], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [7.4560, 0.1633, 3.8444], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [7.4560, 0.1633, 3.8444], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [7.4560, 0.1633, 3.8444], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [7.4560, 0.1633, 3.8444], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [7.2395, 0.1633, 3.7194], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [7.0230, 0.1633, 3.5944], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [7.0230, 0.1633, 3.5944], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.8980, 0.1633, 3.3779], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.7730, 0.1633, 3.1614], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.6480, 0.1633, 2.9449], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.5230, 0.1633, 2.7284], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.3979, 0.1986, 2.5119], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [6.3979, 0.1986, 2.5119], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [6.3979, 0.1633, 2.2619], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [6.3979, 0.1633, 2.0119], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [6.3979, 0.1633, 2.0119], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.2729, 0.1633, 1.7954], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.1479, 0.1633, 1.5789], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [6.0229, 0.1633, 1.3624], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [5.8979, 0.1633, 1.1459], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [5.7729, 0.1633, 0.9294], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [5.6479, 0.1633, 0.7129], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [5.6231, 0.1633, 0.6635], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [5.6267, 0.1633, 0.6613], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [5.6303, 0.1633, 0.6592], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [5.6303, 0.1633, 0.6592], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [5.6303, 0.1633, 0.6592], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [5.6303, 0.1633, 0.6592], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.4138, 0.1633, 0.7842], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.1973, 0.1633, 0.9092], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [4.9808, 0.1633, 1.0342], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [4.7643, 0.1633, 1.1592], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [4.7643, 0.1633, 1.1592], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.5143, 0.1633, 1.1592], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.2643, 0.1633, 1.1592], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.0143, 0.1633, 1.1592], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [4.0143, 0.1633, 1.1592], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [4.0143, 0.1633, 1.1592], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [4.0143, 0.1633, 1.1592], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [4.0143, 0.1633, 0.9092], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [4.0143, 0.1633, 0.9092], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [4.0143, 0.1633, 0.9092], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [4.0143, 0.1633, 0.9092], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [4.0143, 0.1633, 0.9092], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [4.0143, 0.1633, 0.9092], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [4.0143, 0.1633, 0.9092], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [4.0143, 0.1633, 0.9092], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [4.0143, 0.1633, 0.9092], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.2308, 0.1633, 1.0342], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [4.2308, 0.1633, 1.0342], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.4808, 0.1633, 1.0342], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.7308, 0.1633, 1.0342], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.9808, 0.1633, 1.0342], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.2308, 0.1633, 1.0342], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.4808, 0.1633, 1.0342], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.7308, 0.1633, 1.0342], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.9808, 0.1633, 1.0341], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.2308, 0.1633, 1.0341], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.4808, 0.1633, 1.0341], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.7308, 0.1633, 1.0341], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.9808, 0.1633, 1.0341], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
stop, Pos: [6.9808, 0.1633, 1.0341], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
