START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.5705, 0.1633, 1.0448], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [3.5705, 0.1633, 1.0448], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [3.5705, 0.1633, 1.0448], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [3.5705, 0.1633, 1.0448], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [3.7870, 0.1633, 0.9198], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [3.7870, 0.1633, 0.9198], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.0370, 0.1633, 0.9198], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.2870, 0.1633, 0.9198], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.5370, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.7870, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.0370, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.2870, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5370, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.7870, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.0370, 0.1633, 0.9209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.2870, 0.1633, 0.9208], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.5370, 0.1633, 0.9208], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [6.5370, 0.1633, 0.9208], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [6.7535, 0.1633, 1.0458], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [6.7535, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.0035, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.2535, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.5035, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.7535, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.9940, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [7.9940, 0.1633, 1.0458], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1021, 0.1633, 1.2791], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [8.1021, 0.1633, 1.2791], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [8.1440, 0.1633, 1.3209], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [7.9940, 0.1633, 1.1044], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [7.9940, 0.1633, 1.1044], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [7.9940, 0.1633, 1.1044], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.7440, 0.1633, 1.1044], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.4940, 0.1633, 1.1045], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.2440, 0.1633, 1.1045], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.9940, 0.1633, 1.1045], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.7440, 0.1633, 1.1045], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.4940, 0.1633, 1.1045], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.2440, 0.1633, 1.1045], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.9940, 0.1633, 1.1045], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.7440, 0.1633, 1.1045], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.4940, 0.1633, 1.1046], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.2440, 0.1633, 1.1046], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.9940, 0.1633, 1.1046], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.7440, 0.1633, 1.1046], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.4940, 0.1633, 1.1046], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [4.4940, 0.1633, 1.1046], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [4.4940, 0.1633, 1.1046], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [4.3690, 0.1633, 1.2709], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [4.2202, 0.1633, 1.4848], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [4.2202, 0.1633, 1.4848], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [4.0037, 0.1633, 1.6098], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [3.7872, 0.1633, 1.7348], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [3.5707, 0.1633, 1.8598], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [3.5707, 0.1633, 1.8598], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [3.4457, 0.1633, 2.0763], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [3.4457, 0.1633, 2.0763], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [3.2292, 0.1633, 2.2014], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [3.0127, 0.1633, 2.3264], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.7962, 0.1633, 2.4514], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.5797, 0.1633, 2.5764], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.3632, 0.1633, 2.7014], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [2.3632, 0.1633, 2.7014], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [2.2382, 0.1633, 2.9179], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [2.1132, 0.1633, 3.1344], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [1.9883, 0.1633, 3.3509], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [1.9883, 0.1633, 3.3509], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [1.9883, 0.1633, 3.3509], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [1.9883, 0.1633, 3.3509], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [1.9883, 0.1633, 3.3509], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [1.9883, 0.1633, 3.3509], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [1.9883, 0.1633, 3.3509], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.1132, 0.1633, 3.1344], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [2.2382, 0.1633, 2.9179], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [2.2382, 0.1633, 2.9179], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [2.4547, 0.1633, 2.7929], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [2.6712, 0.1633, 2.6679], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [2.8877, 0.1633, 2.5429], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.1042, 0.1633, 2.4179], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.3207, 0.1633, 2.2929], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [3.3207, 0.1633, 2.2929], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [3.4457, 0.1633, 2.0763], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [3.4457, 0.1633, 2.0763], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4457, 0.1633, 1.8263], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4457, 0.1633, 1.5763], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4457, 0.1633, 1.3263], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4457, 0.1633, 1.0763], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4457, 0.1633, 0.8263], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4456, 0.1633, 0.5763], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.4456, 0.1633, 0.3263], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [3.4456, 0.1633, 0.3263], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [3.4456, 0.1633, 0.3263], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [3.4456, 0.1633, 0.3263], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [3.4456, 0.1633, 0.3263], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [3.4456, 0.1633, 0.3263], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [3.4456, 0.1633, 0.3263], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [3.4456, 0.1633, 0.3263], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.5706, 0.1633, 0.5428], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [3.5706, 0.1633, 0.5428], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [3.5706, 0.1633, 0.5428], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.8206, 0.1633, 0.5428], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.0280, 0.1633, 0.5484], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [4.0280, 0.1633, 0.5484], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.1635, 0.1633, 0.7706], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.3800, 0.1633, 0.9209], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.5965, 0.1633, 1.0459], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [4.5965, 0.1633, 1.0459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.8465, 0.1633, 1.0459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.0965, 0.1633, 1.0459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.3465, 0.1633, 1.0459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.5965, 0.1633, 1.0459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.8465, 0.1633, 1.0459], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.0965, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.3465, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.5965, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.8465, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.0965, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.3465, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.5965, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.8465, 0.1633, 1.0458], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.0716, 0.1633, 0.9876], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [8.2829, 0.1633, 0.8971], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [8.2829, 0.1633, 0.8971], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [8.2829, 0.1633, 0.8971], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
