START | Pos: [4.965, -2.8789, -0.03949] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.7150, -2.8791, -0.0395], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.1455, -2.9514, -3.0305], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [4.3620, -2.9381, -3.1555], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [4.5785, -2.9247, -3.2805], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [4.5785, -2.9247, -3.2805], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [4.5785, -2.9247, -3.2805], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [4.5785, -2.9247, -3.2805], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [4.5785, -2.9247, -3.2805], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [4.5785, -2.8956, -3.0305], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [4.5785, -2.8956, -3.0305], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [4.7035, -2.8791, -2.8140], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [4.8285, -2.8791, -2.5975], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [4.9535, -2.8791, -2.3810], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [5.0785, -2.8791, -2.1645], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [5.2035, -2.8791, -1.9480], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [5.3285, -2.8791, -1.7315], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [5.3285, -2.8791, -1.7315], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.5451, -2.8791, -1.6065], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.7616, -2.8791, -1.4815], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [5.9781, -2.8791, -1.3565], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [5.9781, -2.8791, -1.3565], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [6.2281, -2.8791, -1.3565], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [6.4781, -2.8791, -1.3566], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [6.4781, -2.8791, -1.3566], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [6.6946, -2.8791, -1.2316], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [6.9111, -2.8791, -1.1066], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.1276, -2.8791, -0.9816], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.3441, -2.8791, -0.8566], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.5606, -2.8791, -0.7316], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.7772, -2.8791, -0.6066], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [7.9937, -2.8791, -0.4816], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.2102, -2.8791, -0.3566], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.4267, -2.8791, -0.2316], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.6432, -2.8791, -0.1067], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [8.8597, -2.8791, 0.0183], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.0762, -2.8791, 0.1433], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.2927, -2.8791, 0.2683], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.5093, -2.8791, 0.3933], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.7258, -2.8791, 0.5183], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [9.9423, -2.8791, 0.6433], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [9.9423, -2.8791, 0.6433], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [10.0673, -2.8791, 0.8598], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [10.1923, -2.8791, 1.0763], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [10.3173, -2.8791, 1.2928], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [10.4423, -2.8791, 1.5093], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [10.5673, -2.8791, 1.7258], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [10.6923, -2.8791, 1.9423], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [10.8174, -2.8791, 2.1588], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [10.9424, -2.8791, 2.3753], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [10.9424, -2.8791, 2.3753], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.9424, -2.8791, 2.6253], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.9424, -2.8791, 2.8753], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.9424, -2.8791, 3.1253], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.9424, -2.8791, 3.3753], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.9424, -2.8791, 3.6253], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.9424, -2.8791, 3.8753], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [10.9424, -2.8791, 4.1253], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [11.0142, -2.8791, 4.3573], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [11.0142, -2.8791, 4.3573], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [11.1392, -2.8791, 4.5738], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
stop, Pos: [11.1392, -2.8791, 4.5738], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
