START | Pos: [16.63148, 0.19811, -11.30976] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [10.8259, 0.1981, -15.3833], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [10.7009, 0.1981, -15.5998], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [10.5759, 0.1981, -15.8163], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [10.4509, 0.1981, -16.0328], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [10.4509, 0.1981, -16.0328], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [10.4509, 0.1981, -16.0328], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [10.4509, 0.1981, -16.0328], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [10.4509, 0.1981, -16.0328], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.3259, 0.1981, -15.8163], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.2009, 0.1981, -15.5998], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [10.0759, 0.1981, -15.3833], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [10.0759, 0.1981, -15.3833], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [9.8594, 0.1981, -15.2583], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [9.8594, 0.1981, -15.2583], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [9.7344, 0.1981, -15.0418], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [9.7344, 0.1981, -15.0418], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [9.5179, 0.1981, -14.9168], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [9.3014, 0.1981, -14.7918], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [9.0848, 0.1981, -14.6668], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [9.0848, 0.1981, -14.6668], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.8348, 0.1981, -14.6668], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.5848, 0.1981, -14.6668], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.3348, 0.1981, -14.6668], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [8.3348, 0.1981, -14.6668], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [8.1183, 0.1981, -14.5418], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [7.9018, 0.1981, -14.4168], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [7.9018, 0.1981, -14.4168], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.6518, 0.1981, -14.4168], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.4018, 0.1981, -14.4168], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.1518, 0.1981, -14.4168], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.9018, 0.1981, -14.4168], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.6518, 0.1981, -14.4168], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [6.6518, 0.1981, -14.4168], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [6.6518, 0.1981, -14.4168], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [6.6518, 0.1981, -14.4168], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [6.6518, 0.1981, -14.1668], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.4353, 0.1981, -14.0418], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [6.2188, 0.1981, -13.9168], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [6.0938, 0.1981, -13.7003], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [6.0938, 0.1981, -13.7003], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [6.0938, 0.1981, -13.7003], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.8438, 0.1981, -13.7003], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.5938, 0.1981, -13.7003], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.3438, 0.1981, -13.7003], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [5.0938, 0.1981, -13.7003], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.8438, 0.1981, -13.7003], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.5938, 0.1981, -13.7003], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
stop, Pos: [4.5938, 0.1981, -13.7003], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
