START | Pos: [15.35879, 0.7, 5.39613] | Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [15.6088, 0.7000, 5.3961], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [15.7918, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [16.0418, 0.7000, 5.3961], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [15.8253, 0.7000, 5.2711], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [15.5753, 0.7000, 5.2711], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [15.5753, 0.7000, 5.0211], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [15.5753, 0.7000, 5.0211], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [15.5753, 0.7000, 5.0211], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [15.5753, 0.7000, 5.0211], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.8253, 0.7000, 5.0211], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [15.8253, 0.7000, 5.0211], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [15.8253, 0.7000, 5.0211], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [15.8253, 0.7000, 5.0211], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [15.8253, 0.7000, 5.0211], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [15.8253, 0.7000, 5.0211], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [15.8253, 0.7000, 5.0211], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [15.8253, 0.7000, 5.0211], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.6088, 0.7000, 4.8961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.3923, 0.7000, 4.7711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.1758, 0.7000, 4.6461], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.9593, 0.7000, 4.5211], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.7428, 0.7000, 4.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.5263, 0.7000, 4.2711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.3097, 0.7000, 4.1461], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.0932, 0.7000, 4.0211], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.8767, 0.7000, 3.8961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.6602, 0.7000, 3.7711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.4437, 0.7000, 3.6461], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.2272, 0.7000, 3.5211], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.0107, 0.7000, 3.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.7942, 0.7000, 3.2711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.5777, 0.7000, 3.1461], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.3612, 0.7000, 3.0211], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.1447, 0.7000, 2.8961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.9282, 0.7000, 2.7711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.7117, 0.7000, 2.6461], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.4952, 0.7000, 2.5211], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.2787, 0.7000, 2.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.0621, 0.7000, 2.2711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [10.8456, 0.7000, 2.1461], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [10.6291, 0.7000, 2.0211], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [10.4126, 0.7000, 1.8961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [10.1961, 0.7000, 1.7711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [9.9796, 0.7000, 1.6461], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [9.7631, 0.7000, 1.5211], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [9.5466, 0.7000, 1.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
stop, Pos: [9.5466, 0.7000, 1.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
