START | Pos: [2.97176, 0.19355, 5.18616] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-3.9899, 0.1936, 1.3112], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.2064, 0.1936, 1.1862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.4230, 0.1936, 1.0612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.6395, 0.1936, 0.9362], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.8560, 0.1936, 0.8112], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.0725, 0.1936, 0.6862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.2890, 0.1936, 0.5612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.5055, 0.1936, 0.4362], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.7220, 0.1936, 0.3112], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.9385, 0.1936, 0.1862], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.1550, 0.1936, 0.0612], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.3715, 0.1936, -0.0638], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-6.3715, 0.1936, -0.0638], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-6.4965, 0.1936, -0.2803], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-6.6215, 0.1936, -0.4969], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-6.6215, 0.1936, -0.4969], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-6.8380, 0.1936, -0.6219], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-6.8380, 0.1936, -0.6219], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-6.9630, 0.1936, -0.8384], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-6.9630, 0.1936, -0.8384], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-7.1795, 0.1936, -0.9634], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-7.1795, 0.1936, -0.9634], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-7.3045, 0.1936, -1.1799], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-7.4295, 0.1936, -1.3964], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-7.4295, 0.1936, -1.3964], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-7.6460, 0.1936, -1.5214], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-7.6460, 0.1936, -1.5214], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-7.7710, 0.1936, -1.7379], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-7.8960, 0.1936, -1.9544], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-7.8960, 0.1936, -1.9544], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-7.8960, 0.1936, -1.9544], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-7.8960, 0.1936, -1.9544], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-7.8960, 0.1936, -1.9544], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-7.8960, 0.1936, -1.9544], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-7.8960, 0.1936, -1.9544], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-7.8960, 0.1936, -1.9544], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-7.8960, 0.1936, -1.7044], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-7.8960, 0.1936, -1.7044], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-8.0210, 0.1936, -1.4879], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-8.1460, 0.1936, -1.2714], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-8.2710, 0.1936, -1.0549], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-8.3960, 0.1936, -0.8384], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-8.5210, 0.1936, -0.6218], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-8.6460, 0.1936, -0.4053], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-8.7710, 0.1936, -0.1888], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
stop, Pos: [-8.7710, 0.1936, -0.1888], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
