START | Pos: [0.567, -2.9155, 14.0793] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-0.2505, -2.9156, 14.5704], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-0.2505, -2.9156, 14.5704], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.2505, -2.9156, 14.3204], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-0.2505, -2.9156, 14.3204], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.3756, -2.9156, 14.1039], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.5006, -2.9156, 13.8874], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.6256, -2.9156, 13.6709], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.7506, -2.9156, 13.4544], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.8756, -2.9156, 13.2379], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.0006, -2.9156, 13.0214], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.1256, -2.9156, 12.8049], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.2506, -2.9156, 12.5884], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-1.2506, -2.9156, 12.5884], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2506, -2.9156, 12.3384], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2507, -2.9156, 12.0884], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2507, -2.9156, 11.8384], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2507, -2.9156, 11.5884], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2507, -2.9156, 11.3384], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2507, -2.9156, 11.0884], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2507, -2.9156, 10.8384], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2507, -2.9156, 10.5884], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2507, -2.9156, 10.3384], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2508, -2.9156, 10.0884], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-1.2508, -2.9156, 9.8384], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-1.2508, -2.9156, 9.8384], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-1.1258, -2.9156, 9.6219], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-1.0008, -2.9156, 9.4053], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.8758, -2.9156, 9.1888], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-0.8758, -2.9156, 9.1888], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8758, -2.9156, 8.9388], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8758, -2.9156, 8.6888], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8758, -2.9156, 8.4388], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8758, -2.9156, 8.1888], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8759, -2.9156, 7.9388], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8759, -2.9156, 7.6888], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8759, -2.9156, 7.4388], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8759, -2.9156, 7.1888], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8759, -2.9156, 6.9388], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8759, -2.9156, 6.6888], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8759, -2.9156, 6.4388], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8759, -2.9156, 6.1888], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8760, -2.9156, 5.9388], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8760, -2.9156, 5.6888], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8760, -2.9156, 5.4388], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8760, -2.9156, 5.1888], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8760, -2.9156, 4.9388], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8760, -2.9156, 4.6888], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-0.8760, -2.8889, 4.4388], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-0.8760, -2.8889, 4.4388], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.7510, -2.8505, 4.2223], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.6261, -2.8122, 4.0058], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.5011, -2.7738, 3.7893], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.3761, -2.7353, 3.5728], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.2511, -2.6041, 3.3563], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.1261, -2.4943, 3.1398], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.0011, -2.4052, 2.9232], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-0.0011, -2.4052, 2.9232], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-0.0011, -2.4052, 2.9232], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-0.0011, -2.4052, 2.9232], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-0.0011, -2.4052, 2.9232], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-0.0011, -2.4052, 2.9232], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-0.0011, -2.4052, 2.9232], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.1261, -2.4943, 3.1398], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.2511, -2.6041, 3.3563], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-0.2511, -2.6041, 3.3563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2511, -2.7438, 3.6063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2511, -2.7968, 3.8563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2510, -2.8467, 4.1063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2510, -2.8965, 4.3563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2510, -2.9156, 4.6063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2510, -2.9156, 4.8563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2510, -2.9156, 5.1063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2510, -2.9156, 5.3563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2510, -2.9156, 5.6063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2510, -2.9156, 5.8563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2510, -2.9156, 6.1063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2509, -2.9156, 6.3563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2509, -2.9156, 6.6063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2509, -2.9156, 6.8563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2509, -2.9156, 7.1063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2509, -2.9156, 7.3563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2509, -2.9156, 7.6063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2509, -2.9156, 7.8563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2509, -2.9156, 8.1063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2508, -2.9156, 8.3563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2508, -2.9156, 8.6063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2508, -2.9156, 8.8563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2508, -2.9156, 9.1063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2508, -2.9156, 9.3563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2508, -2.9156, 9.6063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2508, -2.9156, 9.8563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2508, -2.9156, 10.1063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2507, -2.9156, 10.3563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2507, -2.9156, 10.6063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2507, -2.9156, 10.8563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-0.2507, -2.9156, 11.1063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-0.2507, -2.9156, 11.1063], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.3757, -2.9156, 11.3228], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.5007, -2.9156, 11.5393], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.6257, -2.9156, 11.7558], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.7507, -2.9156, 11.9723], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-0.8756, -2.9156, 12.1888], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.0006, -2.9156, 12.4053], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.1256, -2.9156, 12.6219], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-1.1256, -2.9156, 12.6219], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-1.1256, -2.9156, 12.8719], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-1.1256, -2.9156, 13.1219], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-1.1256, -2.9156, 13.3719], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-1.1256, -2.9156, 13.3719], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.2506, -2.9156, 13.5884], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.3756, -2.9156, 13.8049], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-1.3756, -2.9156, 13.8049], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-1.3756, -2.9156, 14.0549], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-1.3756, -2.9156, 14.0549], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.5005, -2.9156, 14.2714], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-1.6255, -2.9156, 14.4879], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
stop, Pos: [-1.6255, -2.9156, 14.4879], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
