START | Pos: [0.7158, 0.14281, -3.21363] | Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [0.7158, 0.1428, -3.2136], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [1.3988, 0.1428, -3.4636], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.6153, 0.1428, -3.3386], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.8318, 0.1428, -3.2136], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.0483, 0.1428, -3.0886], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [2.0483, 0.1428, -3.0886], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [2.1733, 0.1428, -2.8721], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [2.1733, 0.1428, -2.8721], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [2.3898, 0.1428, -2.7471], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [2.3898, 0.1428, -2.7471], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
stop, Pos: [2.3898, 0.1428, -2.7471], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
